city,country,region,attendance_low_percentage,attendance_high_percentage,util_peak_low_percentage,util_peak_high_percentage,hybrid_work_trend_2025,prime_rent_usd_sqft,est_savings_usd_per_emp
Atlanta,US,AMER,50,55,60,70,miningDrivenIsolatedGeographyHighInPersonCulture,45,2025
Denver,US,AMER,50,55,60,70,corporateHqsesEnforcingThreeFourDaysSuburbanCommuteImpactsConsistency,40,1800
Philadelphia,US,AMER,48,53,60,68,lifestyleFocusFridaysVeryLowOccupancyTuesdayWednesdayPeak,40,1800
Phoenix,US,AMER,55,60,65,75,slowCbdRecoveryRelyingOnEduMedsSectorForFootTraffic,40,1800
San Diego,US,AMER,50,55,60,70,sprawlEncouragesDrivingGrowingTechPresenceBoostingOfficeUse,55,2475
Rio de Janeiro,BR,AMER,60,65,70,80,biotechDefenseRequiresPresenceTechWorkersPreferRemote,35,1575
Buenos Aires,AR,AMER,55,60,65,75,energyGovSectorsDriveAttendanceInformalFlexibleFridays,30,1350
Santiago,CL,AMER,65,70,75,85,economicVolatilityDrivesCostSavingHybridModels,40,1800
Bogota,CO,AMER,60,65,70,80,traditionalBusinessCultureHighOfficeOccupancy,30,1350
Lima,PE,AMER,70,75,80,90,trafficPicoYPlacaInfluencesHybridSchedulesHeavily,30,1350
Vienna,AT,EMEA,55,60,65,75,highQualityOfLifeTraditionalBankingInsuranceCultureLimitsRemote,55,2475
Lisbon,PT,EMEA,60,65,70,80,digitalNomadHubButLocalsOftenWorkInOfficeGrowingTechScene,40,1800
Helsinki,FI,EMEA,50,55,60,70,highDigitalLiteracyFlexibleWorkLegallySupported,60,2700
Budapest,HU,EMEA,50,55,65,75,sscCapitalHybridUsedToAttractYoungTalent,25,1125
Geneva,CH,EMEA,60,65,70,80,ngoFinanceHeavySteadyAttendanceHighCostOfRealEstate,110,4950
Cairo,EG,EMEA,80,85,85,95,traditionalManagementStyleLowInternetReliabilityAtHomeLimitsRemote,30,1350
Lagos,NG,EMEA,75,80,85,95,powerInfrastructureAtHomeUnreliableOfficeIsNecessary,40,1800
Nairobi,KE,EMEA,70,75,80,90,growingTechHubHybridEmergingButOfficeRemainsPrimary,30,1350
Abu Dhabi,AE,EMEA,80,85,85,95,govOilSectorDominanceStrictAttendancePolicies,60,2700
Doha,QA,EMEA,80,85,85,95,similarToUAEHighOfficeAttendanceDrivenByEx PatsAndPolicy,60,2700
Auckland,NZ,APAC,60,65,70,80,3DayOfficeWeekStandardFocusOnWorkspaceQuality,55,2475
Osaka,JP,APAC,70,75,80,90,merchantCultureHighlyTraditionalRHigherThanTokyo,90,4050
Guangzhou,CN,APAC,80,85,85,95,tradingHubFaceToFaceNegotiationEssential,55,2475
Hyderabad,IN,APAC,60,65,75,85,pharmaTechMixLargeCampusesModerateHybridAdoption,45,2025
Chennai,IN,APAC,70,75,80,90,manufacturingAutoSaaSMoreTraditionalConservativeWorkCulture,40,1800
Cape Town,ZA,EMEA,55,60,65,75,techCreativeHubMoreFlexibleThanJohannesburg,30,1350
Lyon,FR,EMEA,55,60,65,75,industrialBioTechFocusAttendanceStable,40,1800
Manchester,GB,EMEA,50,55,65,75,mediaTechPresenceTuesdayThursdayCrowdVeryVisible,45,2025
Edinburgh,GB,EMEA,50,55,60,70,financeSectorRTOStrongPublicSectorLagging,50,2250
